value
'veolia umweltservice west gmbh '
'verband kirchlicher krankenhausdienstgeber hamburg '
'nahrungsfette-industrie '
'deutsche bundesbank '
'öffentlicher dienst : tvöd '
'kraftfahrer, kraftfahrerinnen / bund '
'arbeitsrechtliche vereinigung hamburg e.v. '
'fhg-gruppe, flughafen hamburg gmbh '
'hamburger krankenhäuser / avh '
'dithmarscher privatbrauerei karl hintz gmbh '
'eurogate '
'transfracht internationale gesellschaft für kombinierten güterverkehr '
'bekleidungslohngewerbe '
'deutsche telekom fleet services gmbh '
'deutsche telekom geschäftskunden-vertrieb gmbh '
'telekom deutschland gmbh, früher t-mobile deutschland tmd '
'hamburger assistenzgenossenschaft eg '
'dat backhus heinz bräuer & co. kg '
'glasindustrie '
'gate gourmet gmbh '
'hafenarbeiter der deutschen seehafenbetriebe '
'hafenarbeiter der deutschen seehafenbetriebe im automobilumschlag '
'hamburger hafenbetriebe, kaufmännische angestellte '
'wisag elektrotechnik gmbh und ehem. gte '
'bitmarck '
'baugewerbe '
'wi-med bergmannsheil '
'db services gmbh: techn. dienste, immobilien, n, no, s, so, sw, w, sicherheitsdienste '
'db dialog gmbh '
'gerüstbauerhandwerk '
'ledererzeugende industrie '
'vonovia se sowie die zugehörigen unternehmen '
'film- und fernsehschaffende '
'bien-zenker ag '
'deutsche gesetzliche unfallversicherung gduv '
'zweites deutsches fernsehen '
'redakteurinnen und redakteure an zeitschriften '
'shell deutschland oil gmbh '
'kfe klinik, kme klinik, kee energie '
'dhl paket gmbh, früher: dhl vertriebs gmbh '
'wohnungs- und immobilienwirtschaft '
'deutsche telekom privatkunden-vertrieb gmbh '
'hamburger hafen und logistik ag '
'konfektion technischer textilien '
'gerry weber ag '
'dfs deutsche flugsicherung gmbh '
'iss gruppe cleaning '
'deutsche telekom business solutions gmbh '
'deutsche telekom security gmbh '
'bankgewerbe '
'metro properties '
'ing-diba ag '
'cemex deutschland ag '
'sunexpress deutschland gmbh '
'beton- und fertigteilindustrie, betonsteinhandwerk '
'thyssenkrupp elevator innovation gmbh '
'karstadt feinkost gmbh '
'stute logistics kg '
'gkv informatik '
'dinea-gastronomie gmbh '
'metronom eisenbahngesellschaft mbh '
'fischmarkt hamburg-altona gmbh '
'nestlé deutschland ag '
'privates versicherungsgewerbe '
'ffg fahrzeugwerkstätten falkenried '
'redakteurinnen und redakteure an tageszeitungen '
'steinmetz- und steinbildhauerhandwerk '
'brunel gmbh und brunel service gmbh & co. kg '
'deutsches rotes kreuz '
'exxonmobil '
'erfrischungsgetränkeindustrie und getränkefachgroßhandel '
'deutsche telekom technik gmbh, früher: deutsche telekom netzproduktion gmbh '
'deutsche telekom außendienst gmbh '
't-systems international gmbh '
'druckindustrie '
'eurowings gmbh, früher: eurowings luftverkehrs ag '
'privathaushaltungen und dienstleistungszentren, früher: privathaushalte '
'bmw ag '
'db hr solutions gmbh '
'arbeiterwohlfahrt hamburg awo '
'medizinische dienste der krankenversicherung mdk '
'interessenverband deutscher zeitarbeitsunternehmen '
'vion food hamburg ag, vion bad bramstedt gmbh '
'kaufmännische krankenkasse '
'kautschuk- und kunststoffverarbeitende industrie '
'alfred kuhse gmbh '
'smurfit kappa '
'aqseptence group gmbh '
'db zeitarbeit gmbh '
'kraftfahrzeughandwerk und -handel, kraftfahrzeuggewerbe '
'tuifly gmbh, ehemals hapag-lloyd fluggesellschaft gmbh '
'rcl automotive hamburg '
'ssp germany gmbh '
'textil service - intex, wäschereidienstleistungen '
'scania deutschland gruppe '
'deutsche telekom ag '
'afp agence france-press gmbh '
'blohm maschinenbau gmbh '
'aramark-betriebe '
'scandlines deutschland gmbh '
'systemgastronomie '
'implenia holding gmbh '
'tarifgemeinschaft der aok '
'ärztinnen und ärzte an universitätskliniken / tdl '
'csg gmbh und csg.ts gmbh bis 31.12.2021 - danach dpdhl facility management deutschland gmbh '
'lgw luftfahrt-gesellschaft walter mbh '
'holz- und kunststoffverarbeitende industrie '
'schuh- und lederwarenindustrie, früher schuhindustrie '
'still gmbh '
'betriebskrankenkassen '
'eurest '
'jacobs douwe egberts de gmbh '
'zuckerindustrie '
'lederwaren-, kunststoffwaren- und kofferindustrie '
'goethe-institut e.v. '
'systemgastronomie, hotel- und gaststätten… '
'postbank filialvertrieb ag '
'öffentlicher dienst : tv-l '
'stationierungsstreitkräfte, internationale militärische hauptquartiere '
'papier, pappe und kunststoffe verarbeitende industrie '
'kalksandsteinindustrie '
'volkswagen retail dienstleistungsgesellschaft mbh vrg '
'caverion gmbh '
'dhl home delivery gmbh, ehemals dhl fulfilment gmbh '
'volkswagen original teile logistik gmbh '
'dak-gesundheit, früher: deutsche angestellten-krankenkasse '
'ikk-isc eg, informations-service-center der innungskrankenkassen '
'ace auto club europa e.v., ace-wirtschaftsdienst gmbh '
'bauer maschinen gmbh '
'berufsfortbildungswerk gmbh '
'netto marken-discount ag '
'tarifgemeinschaft technischer überwachungs-vereine '
'bp europa se und tochtergesellschaften, ehem. deutsche bp ag '
'peter kölln '
'bomin tanklager hamburg gmbh, bis 1.6.12: bominflot tanklager gmbh '
'norddeutscher rundfunk '
'bundesverband der betriebskrankenkassen '
'tüv nord ag '
'hamburger metallgewerbe '
'tarifgemeinschaft der deutschen rentenversicherung '
'hamburger container- und chassis-reparatur gmbh '
'urlaubs- u. lohnausgleichskasse bauwirtschaft, zusatzversorgungskasse baugewerbe '
'stromnetz hamburg gmbh, ehemals vattenfall europe hamburg ag und vattenfall europe distribution hamburg gmbh '
'karstadt warenhaus '
'sharp electronics gmbh, sharp corporation european office '
'service center altenwerder gmbh, …burchardkai gmbh '
'zahnarztpraxen '
'stiftung bahn-sozialwerk '
'deutsche see gmbh '
'deutsche postbank ag '
'norisbank gmbh '
'volksbanken, raiffeisenbanken, genossenschaftliche zentralbanken '
'aurora mühle hamburg gmbh '
'air berlin plc & co, chs cabin und handling service gmbh '
'tereg gebäudedienste gmbh '
'fleischerhandwerk und fleischwarenindustrie hamburg '
'feuerfest- und säureschutzindustrie '
"'privatrechtlicher rundfunk; tarifverband privater rundfunk e.v. '"
'groß- und außenhandel, gen.-agent.handelsver.makler,kommiss.schiffsausr. '
'zeitschriftenverlagsgewerbe '
'ohly hamburg gmbh '
'walter services gmbh '
'krankenhaus mittweida service gesellschaft mbh '
'kulturorchester '
'deutsche telekom technischer service gmbh '
'postbank direkt gmbh, ehemals easytrade services gmbh '
'gebäudereinigung '
'kunststoffverarbeitende industrie '
'bis arnholdt gmbh '
'privates omnibusgewerbe schleswig-holstein '
'ivg immobilien ag '
'bilfinger industrial services gmbh, früher: bilfinger berger industrial services ag '
'tierarzthelfer / tiermedizinische fachangestellte '
'ltu lufttransport-unternehmen gmbh '
'ingredion germany gmbh, ehemals: national starch & chemical gmbh '
'hamburger ölmühlenindustrie '
'dea deutsche erdoel ag, früher: rwe dea ag '
'peter heins ifri gemüse gmbh '
'fischindustrie und fischgroßhandel '
'vereinigung berufsgenossenschaftlicher kliniken '
'lotsfahrzeuge, lotsversetzfahrzeuge '
'bilfinger construction gmbh, früher: bilfinger berger ingenieurbau gmbh '
'otto gmbh '
'nestlé waters deutschland ag fürst bismarck - quelle '
'zigarrenindustrie '
'tarifgemeinschaft der ersatzkassen '
'tobaccoland automatengesellschaft mbh '
'döllinghareico gmbh '
'garten-, landschafts- und sportplatzbau '
'zementindustrie '
'wayss & freytag '
'nestlé waters direct deutschland gmbh '
'schälmühlenindustrie '
'axa '
'vattenfall europe information services gmbh '
'instore und logistik services ils '
'dienstleistungsunternehmen '
'zeitungsverlagsgewerbe '
'karl sturk gmbh straßen- und tiefbau '
'frigoropa gmbh '
'abfallwirtschaft '
'stationäre pflegedienstleistungen '
'maler- und lackiererhandwerk '
'ias aktiengesellschaft, früher: db gesundheitsservice gmbh '
'lokomotivführer, zugbegleiter, bordgastronomen, lokrangierführer, disponenten, instruktoren von schienenverkehrsunternehmen des agvmove / gdl '
'köver gmbh '
'studioküche catering gmbh, früher: norddeutsche kasinogesellschaft '
'j.j.sietas kg, schiffswerft gmbh '
'hamburger einzelhandel '
'belfor-relectronic gmbh, belfor deutschland gmbh '
'tarifgemeinschaft energie '
'sparkassenversicherung hessen-nassau-thüringen sv hnt '
'real,- sb-warenhaus gmbh , ak sb-warenhaus gmbh '
'rewe '
'florist-fachbetriebe, blumen- und kranzbindereien '
'imd infrastrukturanlagen montagedienstleistung gmbh '
'e&v beteiligungen '
'trinks gmbh '
'gesamthafenbetriebs-gesellschaft m.b.h. '
'max bögl firmengruppe '
'lufthansa cityline gmbh, ehemals dt.luftverkehrsges. mbh '
'db kommunikationstechnik gmbh '
'db fahrwegdienste gmbh '
'logi-k gmbh, lieken brot, lieken it '
'obst- und gemüseverarbeitungsindustrie, essig- und senfindustrie '
'berufsfortbildungswerk gem. bildungseinrichtung des dgb gmbh '
'callcenter des hamburger einzelhandels '
'inab-ausbildungs- und beschäftigungsgesellschaft des bfw mbh '
'futtermittelindustrie '
'cytec surface specialties germany gmbh '
'süßwarenindustrie '
'telekom shop vertriebsgesellschaft mbh, ehemals t-punkt vertriebsges. mbh '
'naturstein-, naturwerkstein-industrie, mischanlagen, gemischte baustoffunternehmen '
'ziegelindustrie '
'leercontainer zentrum unikai gmbh '
'dba luftfahrtgesellschaft mbh '
'remain gmbh '
'ls bau gmbh '
'bauten- und eisenschutzgewerbe '
'feuerungstechnisches gewerbe '
'lufthansa technik logistik gmbh und ... services gmbh '
'rechtsanwalts- und notarbüros in hamburg '
'hamburg wasser '
'bundesverband der träger beruflicher bildung e.v. '
'gkv-spitzenverband '
'trenkwalder '
'milch-, käse- und schmelzkäseindustrie '
'zara deutschland b.v. & co '
'textilreinigung, wäschereien '
'hermes logistik gruppe deutschland gmbh '
'konsul inkasso gmbh '
'neukauf handelsgesellschaft mbh '
'minimax e.i.s. gmbh '
'igh industrie-gerüstbau horst gmbh '
'bäderland hamburg gmbh '
'kraftfahrtprüfwesen der tüv rheinland kraftfahrt gmbh '
'minimax gmbh '
'bilfinger se, früher, bis 2012: bilfinger berger ag '
'schilder- und lichtreklameherstellerhandwerk '
'chemische industrie '
'alkenbrecher & preuss gmbh '
'cargill gmbh '
'adler modemärkte gmbh '
'strauss innovation '
'sonac bad bramstedt gmbh '
'privates omnibusgewerbe hamburg '
'sonac bramstedt nord gmbh '
'asmussen gmbh '
'db kredit service gmbh '
'parkettlegerhandwerk und bodenlegergewerbe '
'dräger medical ag '
'barbara hunz personalmanagement gmbh '
'feuerhand services gmbh '
'hagena gmbh & co kg '
'gaststätten- und hotelgewerbe in hamburg '
'dekonta gebäude- und industriedienste gmbh '
'otis gmbh '
'nexperia germany gmbh '
'hamburg wasser service und technik gmbh '
'oxtec umweltservice gmbh '
'bettwarenindustrie '
'securitas aviation service gmbh international '
'lekkerland deutschland gmbh '
'tischlerhandwerk '
'bekleidungsindustrie hamburg und schleswig-holstein '
'deutsche lufthansa ag dlh '
'textil- und bekleidungsindustrie brd '
'arcor ag '
'apotheken '
'karstadtquelle betriebskrankenkasse '
'paritätischer wohlfahrtsverband '
'theater im hafen produktionsgesellschaft mbh '
'theater neue flora produktionsgesellschaft mbh '
'musical betriebsgesellschaft operettenhaus gmbh '
'friedrich ruess gmbh, entsorgungsfachbetrieb '
'züblin ag, ed. '
'e.on is gmbh '
'bfz-essen e.v. berufsförderungszentrum '
'nordsee, ehem. nordsee fisch-spezialitäten gmbh '
'versicherungsvermittlergewerbe '
'innungskrankenkassen, ikk classic '
'db telematik gmbh '
'thyssenkrupp fahrtreppen gmbh '
'bühnenschiedsgerichtsbarkeit - bühnenschiedsgerichtsordnung '
'papierindustrie '
'pflegen & wohnen betriebs gmbh '
'handelskrankenkasse bremen '
'db schenker rail '
'entsorgungswirtschaft '
'lsg lufthansa service catering- und dienstleistungsgesellschaft mbh '
'vivento customer services gmbh '
'versicherungsvermittlergewerbe '
'post-, spar- und darlehensvereine, psd banken e.v. '
'hhla container-terminal altenwerder gmbh '
'sand-, kies-, mörtel- und transportbetonindustrie norddeutschland '
'aerogate münchen gmbh '
'firmengruppe management 2000 gmbh '
'praktiker '
'xervon gmbh '
'journalistinnen und journalisten an tageszeitungen '
'forstliche arbeiten '
'cigarettenindustrie '
'bergbauspezialgesellschaften '
'e.on hanse wärme gmbh '
'bis industrieservice nord gmbh '
'wach- und sicherheitsgewerbe '
'verein kinderland hamburg e.v. '
'condor berlin gmbh cib '
'jürgen jeurink gmbh, bandstahlschnitte '
'gema ges. f. musikal. aufführungs- u. mech. vervielfältigungsrechte '
'privatkliniken, bundesverband deutscher, e.v. '
'lug aircargo handling gmbh '
'krankenhausarbeitgeberverband hamburg e.v. '
'wärme service gmbh, aws '
'neuland beton h. burgis kg '
'trimet aluminium ag '
'g + h metalltechnik gmbh '
'rensch-haus gmbh, planungsbüro helmut rensch gmbh '
'wika stade gmbh '
'wolff & müller tief- und straßenbau gmbh '
'strabag ag '
'deutsche seeschifffahrt '
'privates verkehrsgewerbe niedersachsen '
'feinkeramische industrie, fliesenindustrie '
'onyx rohr- und kanal-service gmbh '
'ecosoil süd gmbh '
'herrenmaßschneiderhandwerk '
'lufthansa technik ag '
'tarifgemeinschaft zeitarbeitsunternehmen in der bvd '
'bgu tübingen service gmbh '
'dgb rechtsschutz gmbh '
't-systems enterprise services gmbh '
'schwörer haus kg '
'walter hamann hoch-, tief- und stahlbetonbau gmbh '
'metall- und elektroindustrie '
'metallindustrie unterweser '
'gegenbauer '
'karl sturk baumaschinenvermietung gmbh '
'güterkraftverkehrs- und speditionsgewerbe hamburg '
'verkehrsgewerbe hamburg, angestellte, priv.speditions-u.verkehrsgew. '
'friedrich-ebert-stiftung e.v., '
'wisag produktionsservice gmbh, ehem. thyssenkrupp industrieservice gmbh '
'sicherheitsdienstleistungen '
'ingenieur-, architektur- und planungsbüros '
'hahnheider milch gmbh, ehem. meierei trittau eg '
'tapetenindustrie '
'wohnraumleuchten-, lampenschirm- und zubehörindustrie '
'schirmindustrie '
'deutsche bahn ag '
'kathmann holz-bauelemente gmbh '
'meiereien und käsereien hamburg und schleswig-holstein '
'chemische und kunststoff verarbeitende industrie niedersachsen '
'sbb cargo deutschland gmbh '
'nord-ostsee-bahn gmbh '
'nassbaggergewerbe '
'salvana-werke jakob schwarzkopf gmbh '
'kaefer-gruppe '
'sl retail services gmbh '
'sinnleffers '
'hans fuchs bauunternehmung gmbh '
'brauereien '
'bkk für heilberufe '
'air france / klm royal dutch airlines '
'augenoptikerhandwerk '
'atg alster-touristik gmbh '
'baumschulbetriebe hamburg und schleswig-holstein '
'db autozug gmbh '
'fotomaterialverarbeitende betriebe '
'h&r ölwerke schindler gmbh '
'dataport '
'deutsche rentenversicherung knappschaft-bahn-see '
'db vertrieb gmbh '
'postdienste, briefdienstleistungen '
'bkk zf & partner '
'md personaldienstleistungen '
'petermann verwaltungs gmbh '
'norka norddeutsche kunststoff- u.elektrogesellschaft stäcker mbh '
'jobpower personaldienstleistungs gmbh '
'berendsen, gödde '
'datagroup operate it gmbh, früher: hansecom '
'strabag property and facility services gmbh pfs '
'aviation fuel services & management gmbh '
'mercedarius e.v. '
'walter telemedien holding gmbh '
'berlitz deutschland gmbh '
'alsco berufskleidungs-service gmbh '
'benteler rohrhandel gmbh '
'retail operating company deutschland gmbh '
'gww wiesbadener wohnbaugesellschaft mbh '
'gartenbaubetriebe hamburg u.a. '
'transa spedition gmbh '
'container- und entsorgungsdienst johann heidorn gmbh '
"'ab zeitpersonal gmbh; vero gmbh '"
'vivento technical services gmbh '
't-systems media & broadcast gmbh '
'sag gmbh '
'db systems gmbh '
'dasell cabin interior gmbh '
'schuhmacherhandwerk '
'abbruch- und abwrackgewerbe '
'franz kassecker gmbh '
'baugewerbe niedersachsen und schleswig-holstein '
'toom baumarkt gmbh '
'db engineering & consulting, verschmelzung aus db projektbau gmbh und db international '
'modistenhandwerk '
'bt gmbh '
'profectis gmbh technischer kundendienst '
'altonaer wellpappenfabrik gmbh '
'willy schacht gmbh '
'snp-gruppe '
'vereinigung hamburger kindertagesstätten ggmbhm '
'albertinen-diakoniewerk e.v. '
'groß- und außenhandel nrw '
'stena line scandinavia ab '
'öffentlicher dienst : bat '
'norddeutsche mischwerke gmbh '
'g + h bautec gmbh '
'deutsche post real estate germany gmbh '
'schulservice hamburg gesellschaft für facility management mbh '
'gruner + jahr ag '
'arcus gesellschaft für elektronische archivierung mbh '
'maschinenfabrik max kroenert gmbh, zae-antriebssysteme gmbh '
'ruhrmann gmbh '
't-systems business services '
'koka verwaltung gmbh '
'fulfilment plus gmbh '
'johler - druck gmbh '
'deutsche post customer service center gmbh '
't-systems multimedia solutions gmbh '
'vr kreditwerk hamburg-schwäbisch hall ag '
'db fernverkehr ag '
'betriebs-center für banken ag '
'at&t global network services deutschland gmbh '
'zweite real,- sb-warenhaus gmbh '
'gemeinnützigen ver.di bildung + bratung gmbh, früher: ver.di bildung + beratung ggmbh '
'mathilde balzer gmbh & co. kg '
'lufthansa global tele sales gmbh '
'betriebskrankenkasse des bundesverkehrsministeriums '
'thomson reuters, ehem. reuters ag '
'dhl express betriebs gmbh / dhl express germany gmbh '
'sozialverband deutschland, sovd '
'dhl hub leipzig gmbh '
'buss hansa terminal gmbh '
'hamburger stadtentwässerung '
'wyso elektrotechnik gmbh '
'unione gelatieri artigiani italiani '
'deutsche post immobilienentwicklung gmbh '
'deutsche post bauen gmbh '
'csg gmbh und csg.ts gmbh '
'deutsche post it services gmbh '
'hamburger stadtentwässerung hse abwasser service gmbh '
'dhl verwaltungs gmbh '
'hamburger wasserwerke gmbh '
'deutsche post printcom gmbh '
'carlsberg deutschland logistik gmbh '
'ambulante soziale dienste asd '
'walter services comcare gmbh '
'dpv deutscher pressevertrieb gmbh '
'carl tiedemann gmbh '
'ocean wildwater deutschland '
'philip morris gmbh '
'spd landesorganisation hamburg '
'm. rechlin gmbh '
'cargo deutschland gmbh cfl '
'wert wertstoff-einsammlung gmbh '
'kühlhäuser und eisfabriken '
'karstadt quelle ag '
'alpha personalmanagement gmbh '
'kühlhaus zentrum ag '
'elektro-montage-nord '
'schenker ag '
'lufthansa service gmbh lsg '
'damp holding ag, im geltungsbereich u.a.: endo-klinik hamburg gmbh '
'condor flugdienst gmbh cfg '
'verkehrsgewerbe schleswig-holstein '
'lufthansa systems gmbh & co kg, bis 2015: lufthansa systems ag '
'bundesverband zeitarbeit personal-dienstleistungen e.v.,später bap, 30-392 '
'forstwirtschaftliche verwaltungen, einrichtungen u. betriebe der länder '
'galvaniseure, graveure, metallbildner '
'designleistungen, designer '
'trocken-, montage- und innenausbau-betriebe '
'medien denk fabrik die eg '
'nordharzer städtebundtheater halberstadt/quedlinburg '
'spielbank hamburg jahr und achterfeld kg '
'american express international banking military travel division '
'nokia solutions and networksälteretvs siehe: siemens-gesellschaften '
'e.on hanse ag, ab 2014 hansewerk ag '
'deutsche telekom regional services and solutions gmbh '
'airberlin technik gmbh '
'hapag-lloyd kreuzfahrten gmbh '
'db fahrzeuginstandhaltung gmbh '
'db fuhrparkservice gmbh '
'db mobility logistics '
'db rent gmbh '
'db gastronomie gmbh '
'db dienstleistungen gmbh '
'hessische staatstheater darmstadt, kassel, wiesbaden '
'brandenburgisches staatsorchester frankfurt/oder '
'unternehmerverband industrieservice + dienstleistungen e.v., betriebe '
'einzelhandel nrw '
'brandenburger symphoniker '
'brandenburger theater gmbh '
'evantec gmbh '
'barry callebaut gmbh '
'richter+frenzel gmbh + co. kg '
'sodexo services gmbh '
'senvion holding gmbh, bis 2014: repower systems '
'deutsche funkturm gmbh '
'bosch thermotechnik gmbh '
'securitas sicherheitsdienste deutschland holding gmbh '
'dpa, deutsche presse agentur '
'dpa, deutsche presse agentur, auch tochterunternehmen '
'partei die linke '
'bodenverkehrsdienst-gesellschaften '
'brandenburgische kulturstiftung cottbus, staatstheater cottbus '
'cg nordfleisch ag '
'deutsche telekom training gmbh '
'weidenhammer packungen gmbh & co. kg '
'rhein.philh.koblenz, staatsphilh.rh.-pf.,ludwigsh., philh.orch.mainz '
'ds smith stange bv & co. kg '
'e.on business services gmbh, ehemals e.on it gmbh '
'geld- und wertdienste '
'sicherheitskräfte an verkehrsflughäfen '
'hellermanntyton gmbh '
'deutsche telekom kundenservice gmbh '
'bundesarbeitgeberverband der personaldienstleister e.v., ehemals bza '
'nynas gmbh & co. kg '
'scandlines-catering gmbh, betriebe catering & retail, abgeschlossen mit ngg '
'ndr media gmbh, ehemals: norddeutsches werbefernsehen gmbh '
'hftl trägergesellschaft mbh '
'abb ag '
'mecklenburgisches staatstheater schwerin ggmbh '
'easyjet airline company ltd '
'efa autoteilewelt logistik gmbh '
't-systems gei gmbh '
'möller-wedel gmbh & co. kg '
'ullstein gmbh '
'axel springer ag '
'db intermodal services gmbh '
'volvo group truck center nord-west gmbh '
'esw gmbh '
'storengy deutschland betrieb gmbh '
'bilfinger bauperformance gmbh '
'bühnen des landes berlin '
'qs quality services gmbh, früher: quality service gmbh '
'dänisches bettenlager gmbh '
'nürnberger symphoniker '
'friseurhandwerk '
'oettinger brauerei gmbh '
'wisag ground service holding gmbh & co. kg, wisag ground service hamburg '
'total walther gmbh '
'larosé gmbh & co. kg, früher: larosé hygiene-service gmbh '
'rail4captrain gmbh '
'fleischuntersuchung / vka + tdl '
'servicegesellschaft für automatisierten forderungseinzug mbh '
'it-dienstleistungen '
'bau-mauch gmbh '
'nahverkehrsbetriebe / vka '
'olutex - oberlausitzer luftfahrttextilien gmbh, hamburg '
'personenseilschwebebahnen '
'smart vertriebs gmbh '
'gdf suez energie deutschland ag '
'hochtief offshore crewing gmbh '
'westfälische landes-eisenbahn gmbh '
'bergische symphoniker remscheid, solingen gmbh '
'prinovis ltd. & co. kg sowie weiterverarbeitung und logistik gmbh, prinovis-unternehmen '
'ebeling drucke gmbh '
'unilever deutschland gmbh, ehem.tlw.union dt.lebensmittelw. '
'bcd travel germany gmbh '
'gerhard-hauptmann-theater görlitz-zittau gmbh '
'waldarbeiter, forstwirtschaftliche verwaltungen,,, / bund, vka '
'schiffsmeldedienst gmbh '
"'""unser norden"" landbäckerei gmbh '"
'neuenfelder maschinenfabrik gmbh, norderwerft gmbh '
'db european railservice gmbh '
'tüv rheinland, tüv rheinland industrie service gmbh '
'lufthansa cargo ag '
'lsg sky chefs-gesellschaften '
'hochtief energy management gmbh '
'bühne: solomitgl., bühnentechniker, opernchor-u.tanzgruppenmitgl. '
'junge menschen in offener beruflicher bildung gmbh '
'schienenpersonennahverkehr spnv '
'db anlagen und haus service gmbh '
'germanwings gmbh '
'hadag verkehrsdienste gmbh '
't-systems regional services and solutions gmbh '
'ga energieanlagenbau nord gmbh, ga ean '
'wohnpark am wiesenkamp '
'markt- und kühlhallen ag, muk logistik gmbh, tilo service gmbh '
'internationaler bund freier träger der jugend-, sozial- und bildungsarbeit e.v. '
'toom markt u.a. sb-warenhäuser '
'kürschnerhandwerk '
'basler versicherungen '
'db stiftung ggmbh '
'esprit retail b.v. & co. kg '
'modell- und formenbau '
'modellbauerhandwerk '
'ärztinnen und ärzte an kommunalen krankenhäusern / vka '
'deutsche telekom services europe gmbh, früher: deutsche telekom accounting gmbh '
'lufthansa flight training gmbh '
'deutsche umschlaggesellschaft schiene - straße mbh '
'mickan-general-bau-gesellschaft amberg mbh & co. kg '
'british american tobacco gmbh standort hamburg '
'jt international germany gmbh, ehem. r.j. reynolds tobacco gmbh '
'f6 cigarettenfabrik gmbh '
'baumarkt max bahr gmbh & co. kg '
'baumarkt mb vertriebs gmbh '
'baumarkt max bahr praktiker einkaufs gmbh '
'reemtsma cigarettenfabriken gmbh '
'able management services gmbh '
'hamburger feuerkasse '
'anhaltisches theater dessau '
'gies kerzen gmbh, ehem. gebrüder gies wachswarenfabrik '
'greif germany gmbh '
'arbeitgeberverband mittelständischer personaldiensleister, verschmolzen ab 27.06.2011 auf den bap '
'pfw aerospace '
'konditorenhandwerk '
'deutsche telekom glasfaser service gmbh '
'ga hochspannung leitungsbau gmbh '
't-systems individual desktop solutions gmbh '
'universelle engineering u.n.i. gmbh '
'diehl comfort modules gmbh '
'sick maihak gmbh, früher maihak ag '
'bell deutschland gmbh & co. kg '
'cinemaxx holdings gmbh, früher: cinemaxx ag und ihre tochterunternehmen '
'ströer derg media gmbh srg, derg vertriebs gmbh srv '
'göttsche getränke gmbh & co. kg '
'zeitarbeitsunternehmen mobilitäts- und verkehrsdienstleister '
'db jobservice gmbh '
'wohnen und verwalten gmbh '
'württembergische philharmonie reutlingen '
'gemeinwirtschaftliche geschäftsbanken '
'lohnausgleichskasse, zusatzversorgungskasse…dachdeckerhandwerk '
'kälte- und klimatechnik der fhh '
'hans hepp gmbh & co. kg '
'landesbühne sachsen-anhalt '
'asklepios westklinikum hamburg gmbh '
'apollo-optik gmbh '
'tüv hanse gmbh '
'air berlin crew operations '
'gfz gesellschaft für zentralmontagen mbh '
'theater plauen/zwickau '
'theater und philharmonie thüringen gmbh '
'fujitsu technology solutions gmbh '
'leser gmbh '
'lüco internationaler messebau nord gmbh '
'postbank service gmbh '
'holz-michelsen gmbh '
'lokomotivführer von schienengüterverkehrsunternehmen '
'rundfunk-sinfonieorchester berlin '
'anton schlecker '
'schwörer baustysteme gmbh '
'theater nordhausen gmbh '
'semmelhak & co. häute und felle '
'neue elblandphilharmonie '
'rc ddm gmbh, früher: t-systems ddm gmbh '
'städtische bühnen frankfurt am main '
'nordwestdeutsche philharmonie, herford '
'kriegbaum-gruppe '
'avangard malz ag '
'buyin gmbh '
'blohm + voss naval gmbh '
'avg abfall-verwertungs-gesellschaft mbh '
'yit germany gmbh '
'nichtbundeseigene eisenbahnen und kraftverkehrsbetriebe '
'abendpersonal der theater, avh / verdi '
'hanseatische und merkur ersatzkasse '
'hochtief solutions ag '
